Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,11/05/2018,"3,6636235","-0,65%","R$ 0,00","R$ 0,00","R$ 14.870.135,05",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,10/05/2018,"3,6876658","0,50%","R$ 0,00","R$ 0,00","R$ 14.967.719,33",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,09/05/2018,"3,6692854","0,77%","R$ 0,00","R$ 0,00","R$ 14.893.115,92",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,08/05/2018,"3,6411181","0,36%","R$ 0,00","R$ 0,00","R$ 14.778.788,61",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,07/05/2018,"3,6281034","-0,72%","R$ 0,00","R$ 0,00","R$ 14.725.964,03",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,04/05/2018,"3,6543059","-0,02%","R$ 0,00","R$ 0,00","R$ 14.832.315,96",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,03/05/2018,"3,6551489","-1,33%","R$ 0,00","R$ 0,00","R$ 14.835.737,80",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,02/05/2018,"3,7043187","-0,85%","R$ 0,00","R$ 0,00","R$ 15.035.311,25",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,30/04/2018,"3,7360461","-0,40%","R$ 0,00","R$ 0,00","R$ 15.164.088,37",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,27/04/2018,"3,7511409","0,01%","R$ 0,00","R$ 0,00","R$ 15.225.355,67",5
