Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,24/03/2017,"1,92732131","-0,01%","R$ 0,00","R$ 0,00","R$ 3.582.030,53",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,23/03/2017,"1,9274791","-0,01%","R$ 0,00","R$ 10.000,00","R$ 3.582.323,79",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,22/03/2017,"1,9276318","-0,01%","R$ 0,00","R$ 0,00","R$ 3.592.608,39",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,21/03/2017,"1,92778318","-0,01%","R$ 0,00","R$ 0,00","R$ 3.592.890,51",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,20/03/2017,"1,92793519","-0,01%","R$ 0,00","R$ 0,00","R$ 3.593.173,82",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,17/03/2017,"1,92808969","-0,01%","R$ 0,00","R$ 0,00","R$ 3.593.461,77",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,16/03/2017,"1,92828456","-0,01%","R$ 0,00","R$ 0,00","R$ 3.593.824,96",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,15/03/2017,"1,92854955","-0,02%","R$ 0,00","R$ 0,00","R$ 3.594.318,84",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,14/03/2017,"1,92885874","-0,01%","R$ 0,00","R$ 0,00","R$ 3.594.895,09",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,13/03/2017,"1,92912663","-0,01%","R$ 0,00","R$ 0,00","R$ 3.595.394,36",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,10/03/2017,"1,92939514","-0,01%","R$ 0,00","R$ 0,00","R$ 3.595.894,79",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,09/03/2017,"1,92966409","-0,04%","R$ 0,00","R$ 0,00","R$ 3.596.396,05",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,08/03/2017,"1,93049312","0,02%","R$ 0,00","R$ 0,00","R$ 3.597.941,14",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,07/03/2017,"1,93020083","0,01%","R$ 0,00","R$ 0,00","R$ 3.597.396,39",2
